file	line	verdict	decls	how	quote
CLPPaper/Sections/Programs.lean	151	refuted		none	$`\nvdash P \lor \lnot P`, refuted by a two-world Herbrand model: least models are
CLPPaper/Sections/Solving.lean	16	proved		none	function proved sound.
HANDOFF.md	3	REFUTED	TagLeafV	line	## 2026-08-29a — `TagLeafV` is REFUTED: the lift's interface is uninhabited, and (LIFT) must be reached another way
HANDOFF.md	7	kernel-checked	TagLeafV	near	in the negative**, kernel-checked. Two increments, both sorry-free and
HANDOFF.md	7	sorry-free	TagLeafV	near	in the negative**, kernel-checked. Two increments, both sorry-free and
HANDOFF.md	13	refuted	RegWitV	near	and `Λ*_wld ⊆ ctx`; the goal must be refuted at `a`, NOT at `wld`. Two
HANDOFF.md	33	REFUTED	provableV_circ_peirce_lifted	near	### 2. Then the shrunken interface was REFUTED (wip/tagleaf_refute.lean)
HANDOFF.md	50	refuted	TagLeafV	near	(anchor `⊤`) — both refuted above.
HANDOFF.md	68	provable	completenessV_lift	near	is VACUOUS — a false hypothesis — while the goal is provable.
HANDOFF.md	72	refuted	tagPrimeP_join	line	`Z` — and at a cone-refuted goal `tagPrimeP_join` fires, never `tl`.
HANDOFF.md	92	refuted	RegWitV	near	`G` (with `◯p` on the left), refuted at `w`, with `w ⊩ ◯p`, and forced
HANDOFF.md	151	PROVED		none	## 2026-08-25d — RefAt MECHANISED: FRJV typed calculus, soundnessV PROVED, engines modular, ρ12⊢?ρ15 SETTLED — the matrix has no open ...
HANDOFF.md	155	sorry-free		none	deliverables landed sorry-free; `FRJ/AuditV.lean` guard-pins the stack
HANDOFF.md	162	PROVED	KeptChain,keptOf,keptOf_ok	line	`KeptChain` certificate, greedy `keptOf` with PROVED `keptOf_ok`, and
HANDOFF.md	188	kernel-checked	not_entails_of_provableV	near	Witnesses and consequences** (kernel-checked, pins green):
HANDOFF.md	208	OPEN	Fast,Profile	near	Open / next:** FRJV completeness (untouched, OPEN); the 6-cell residue
HANDOFF.md	215	PROVED		none	## 2026-08-25c — FRJ◯ #80/#81 PROVED as incompleteness THEOREMS; CompletenessFRJ REFUTED; the RefAt repair validated
HANDOFF.md	215	REFUTED		none	## 2026-08-25c — FRJ◯ #80/#81 PROVED as incompleteness THEOREMS; CompletenessFRJ REFUTED; the RefAt repair validated
HANDOFF.md	222	PROVED		none	PROVED (kernel-checked, sorry-free, `[propext, Quot.sound]`, pinned):**
HANDOFF.md	222	kernel-checked		none	PROVED (kernel-checked, sorry-free, `[propext, Quot.sound]`, pinned):**
HANDOFF.md	222	sorry-free		none	PROVED (kernel-checked, sorry-free, `[propext, Quot.sound]`, pinned):**
HANDOFF.md	234	proved	lemma39R,tag_cone	line	already-proved `lemma39R` and `tag_cone`. The same template converts
HANDOFF.md	239	refuted	Cl	line	ι = ¬¬◯⊥ ⊃ ◯⊥ is refuted with the new world itself as witness) — `Cl`
HANDOFF.md	249	refuted		none	"replacing the three ""refuted at the new root"" tests (⋈^∨ hC, ⋈^◯ hZ,"
HANDOFF.md	271	OPEN	allStagesMissed	near	no proof; the cell stays two-sidedly OPEN and the FRJX hit is an
HANDOFF.md	291	REFUTED		none	one REFUTED, none open. Each has a sorry-free kernel-checked witness in
HANDOFF.md	291	sorry-free		none	one REFUTED, none open. Each has a sorry-free kernel-checked witness in
HANDOFF.md	291	kernel-checked		none	one REFUTED, none open. Each has a sorry-free kernel-checked witness in
HANDOFF.md	299	REFUTED		none	cells are already REFUTED in round 2.
HANDOFF.md	312	refuted		none	## 2026-08-18 — FRJ◯ search: the stack built end to end, and 15+ RN(◯,{}) cells refuted
HANDOFF.md	352	proved	Interd	near	proved/refuted/open. Sweeping it with `lake exe rnfrj --engine=fast`:
HANDOFF.md	352	refuted	Interd	near	proved/refuted/open. Sweeping it with `lake exe rnfrj --engine=fast`:
HANDOFF.md	356	REFUTED	Interd	near	16 `open` cells REFUTED** — new mathematics, not a regression test.
HANDOFF.md	358	kernel-checked	Classical.choice	near	All sixteen are kernel-checked in `wip/rnFRJCerts.lean`, sorry-free,
HANDOFF.md	358	sorry-free	Classical.choice	near	All sixteen are kernel-checked in `wip/rnFRJCerts.lean`, sorry-free,
HANDOFF.md	391	kernel-checked		none	narrowing. Each exhausted cell is one kernel-checked conjunction
HANDOFF.md	396	proved		none	re-proved.
HANDOFF.md	411	OPEN		none	about a cell, not a proof of it. Statement (A) remains OPEN and nothing
HANDOFF.md	423	OPEN		none	FRJ◯ calculus as a fast countermodel finder, independently of the OPEN
HANDOFF.md	425	proved		none	proved), so search is untrusted-but-safe.
HANDOFF.md	456	PROVED	Cl,thetaCandidates	near	the PROVED construction uses. Fixed by enumerating the ⊆-maximal
HANDOFF.md	481	proved		none	Minimal retarget (type ascriptions; touches the proved file — surfaced
HANDOFF.md	489	PROVED		none	PROVED (sorry-free, pins `[propext, Quot.sound]`, guards in
HANDOFF.md	489	sorry-free		none	PROVED (sorry-free, pins `[propext, Quot.sound]`, guards in
HANDOFF.md	494	REFUTED	provable_root_countermodel,completeness_of_discrete,completeness_via_closure	near	REFUTED: minMod as structural recursion (§9 measure dichotomy:
HANDOFF.md	497	OPEN		none	OPEN: (A); both supply kernels — as STATEMENTS: neither proved nor
HANDOFF.md	497	proved		none	OPEN: (A); both supply kernels — as STATEMENTS: neither proved nor
HANDOFF.md	570	proved		none	(γ)-design fixed by two proved constraints: Λ*-circ retention is
HANDOFF.md	584	conjecture		none	(conjecture: kernel dischargeable member-wise everywhere). Killer
HANDOFF.md	603	PROVED	circWit_of_maximal	line	Z]. Discharges PROVED: maximal worlds (`circWit_of_maximal`, via the
HANDOFF.md	612	sorry-free	completeness_of_supply	near	FRJ/Saturate.lean: the full §10 organisation is in, sorry-free,
HANDOFF.md	629	OPEN	provable_root_countermodel	near	completeness (A) remains OPEN; saturation-closure decomposition recorded
HANDOFF.md	632	OPEN		none	## 2026-08-16 late — completeness obstruction pinned; OPEN, route redesigned
HANDOFF.md	639	OPEN		none	is a proof-recipe failure, not a calculus gap. FRJ◯ completeness is OPEN;
HANDOFF.md	644	PROVED		none	... — no open cell in the matrix; §2026-08-25c: witnesses #80/#81 PROVED as incompleteness theorems, CompletenessFRJ refuted, RefAt repair validated (branch ...
HANDOFF.md	644	refuted		none	... the matrix; §2026-08-25c: witnesses #80/#81 PROVED as incompleteness theorems, CompletenessFRJ refuted, RefAt repair validated (branch claude/frj-incompleteness-80-81-251e7f); earlier: merge of claude/frj-redevelopment-69005f ...
HANDOFF.md	646	OPEN		none	... Merged: `main` @ PR #5 (the summit theorems). **PR #6 OPEN** (commentary + comment sweep) — awaiting Matthew's personal prose ...
HANDOFF.md	650	proved		none	systems each result belongs to, what is proved about it, and whose it is
HANDOFF.md	660	kernel-checked	LaxND,Tm,SC	line	... (I&C 1997): natural deduction (`LaxND`), an intrinsically-typed term calculus (`Tm`) with kernel-checked strong normalisation, a cut-free G3 sequent calculus (`SC`), ...
HANDOFF.md	660	machine-checked	LaxND,Tm,SC	line	... kernel-checked strong normalisation, a cut-free G3 sequent calculus (`SC`), a **machine-checked refutation of the completeness of Iemhoff's G4iLL** (`PLLG4Gap.lean`), and ...
HANDOFF.md	664	kernel-checked	toSC,ofG4p	near	What works** (all kernel-checked, `#guard_msgs`-audited):
HANDOFF.md	665	refuted	toSC,ofG4p,PLLG4H,impR_inv,PLLG4HInv,andR_inv,PLLG4HCut,PLLG4HAdm,weak_Imp,impLImp_dup,PLLG4HStr,PLLG4HCtr.G4c.contract,exfalso_adm,cut_atom,selfAbsorb,PLLG4HComp	near	The gap: `PLLG4Gap.lean` — separating sequent SC-derivable / G4-refuted (`[propext]` only), two-copy variant axiom-free ⟹ contraction inadmissible. `PLLG4Tower.lean` — Howe's ...
HANDOFF.md	693	refuted	SC,LaxND,Tm,cutElimination,curry_howard	line	... ground truth; everything is measured against it | Proven equivalent to `LaxND`/`Tm` (`cutElimination`, `curry_howard`) | Trusting G4iLL: refuted, kernel-checked |
HANDOFF.md	693	kernel-checked	SC,LaxND,Tm,cutElimination,curry_howard	line	... ground truth; everything is measured against it | Proven equivalent to `LaxND`/`Tm` (`cutElimination`, `curry_howard`) | Trusting G4iLL: refuted, kernel-checked |
HANDOFF.md	696	refuted	selfAbsorb	near	... 2026-07-09 evening — the retention rules absorb contraction | Claiming Howe refuted: wrong, the strong (reductive) form is open and ...
HANDOFF.md	697	refuted		none	"... now: repeats her error shape. Trusting literature that ""PLL-UI is settled"": refuted here — correct any agent that reports it ..."
HANDOFF.md	739	refuted	G4p,ofG4p	near	Do NOT claim strong Howe refuted, or that PLL-UI is settled (either way), anywhere.
HANDOFF.md	747	unproved	cascade_low_pos_box	line	State:** the whole development compiles down to one unproved lemma, `cascade_low_pos_box` (`wip/absorb_base.lean`) — the sole `sorry` anywhere in the UI ...
HANDOFF.md	751	sorry-free	uniform_interpolation_IPC	line	Late addendum, same day:** `uniform_interpolation_IPC` landed sorry-free (box-free crown, pinned audit `[propext, Classical.choice, Quot.sound]`) — proved by an Opus agent ...
HANDOFF.md	751	proved	uniform_interpolation_IPC	line	... landed sorry-free (box-free crown, pinned audit `[propext, Classical.choice, Quot.sound]`) — proved by an Opus agent from a mapped brief; the ...
HANDOFF.md	760	proved	LaxND,SC,G3iLL,G4iLL,G4h,G4c,DerivU,DerivUNoFall	line	... `SC`, `G3iLL`, `G4iLL`, `G4h`/`G4c`, `DerivU`, `DerivUNoFall`), what each is, what is proved about it here, what depends on it, and ...
HANDOFF.md	768	sorry-free	uniform_interpolation_IPC	line	`wip/G4conf.lean`. `uniform_interpolation_IPC` is sorry-free;
HANDOFF.md	772	REFUTED	BoxDesc,CompProd	line	route is REFUTED, kernel-checked at `Γ = []`: `BoxDesc`, `CompProd` and
HANDOFF.md	772	kernel-checked	BoxDesc,CompProd	line	route is REFUTED, kernel-checked at `Γ = []`: `BoxDesc`, `CompProd` and
HANDOFF.md	774	refuted	BoxDesc,CompProd,GoalRowAbsorb,cascade_boxgoal_pos	near	rounds 7's and 8's own upgrade theorems. The refuted cell is strictly
HANDOFF.md	776	proved	cascade_boxgoal_pos	near	the sole countermodel excluder for the third time. §65 then proved that the
HANDOFF.md	800	PROVED	frj_iff_not_IPL	near	(TOCL 21(3) 2020) extended to PLL's ◯. The ◯-FREE completeness is PROVED
HANDOFF.md	805	PROVED		none	PROVED (`FRJ/Saturate.lean`, pins `[propext, Quot.sound]`, guards in
HANDOFF.md	813	REFUTED	completeness_via_closure,minMod	near	REFUTED: the paper's triple-induction structure extended to ◯
HANDOFF.md	815	OPEN	minMod	near	OPEN: unconditional (A); BOTH supply kernels as statements — never
HANDOFF.md	818	proved		none	(`Rm = id`), reducing that class to the proved ◯-free completeness.
HANDOFF.md	833	proved	CimpAnt	near	The LJF◯ route to UI for PLL (branch `ljf-pll`) reached: E1/A1 proved
HANDOFF.md	834	sorry-free	CimpAnt,interpF	near	outright and pinned; E2/A2 sorry-free conditional on the single typed
HANDOFF.md	851	OPEN	satE2,satA2,CimpAnt,eSound,aSound	near	their exact statements throughout, and **UI for PLL remains OPEN**.
HANDOFF.md	930	PROVED		none	departures from paper practice; §5 the PROVED/conditional/OPEN ledger. The
HANDOFF.md	930	OPEN		none	departures from paper practice; §5 the PROVED/conditional/OPEN ledger. The
HANDOFF.md	931	machine-checked	thetaStabilises	near	correspondence column is expository, not machine-checked, and says so.
HANDOFF.md	974	PROVED		none	## 13. Update — 2026-08-16: FRJ over IPC PROVED; FRJ◯ restarted from scratch on `frj-lax`
HANDOFF.md	976	PROVED	minMod	near	FRJ(G) over IPC is PROVED**, sorry-free, on branch `frj-ipc` (tag
HANDOFF.md	976	sorry-free	minMod	near	FRJ(G) over IPC is PROVED**, sorry-free, on branch `frj-ipc` (tag
HANDOFF.md	984	proved		none	and are proved), and the regular `C₁ ∧ C₂` case cites (IH2) where it
HANDOFF.md	991	proved	Finset.filter	line	mentioning them carries choice however proved — only `Finset.filter` is
HANDOFF.md	1001	REFUTED	ExtractForces	line	FRJ◯ restarted.** `FRJO/` is abandoned: `ExtractForces` is REFUTED
HANDOFF.md	1002	kernel-checked	worldOK	line	for `worldOK` v3 by three kernel-checked cells (`4730e30`), the root
HANDOFF.md	1073	proved	SfClosed	line	`Sf^L`/`Sf^R` with `SfClosed` proved of the computed sets, the zones,
HANDOFF.md	1097	proved	force_circ_of_force	line	and (Cl1) would survive it (`force_circ_of_force` is proved and used
HANDOFF.md	1121	PROVED	Rm	near	full modal extension with SOUNDNESS PROVED: `soundness : Provable G →
HANDOFF.md	1169	proved	RootAbove	line	witness above its root via `RootAbove`. Soundness cases proved via
HANDOFF.md	1191	proved	minMod	near	repaired, soundness re-proved, corpus 17 pass / 5 control-ok / 0 flags
HANDOFF.md	1205	conjectured	minModP,minMod	near	⊃-float onto a modally-loaded anchor; conjectured unrealisable, engine
HANDOFF.md	1214	sorry-free		none	Engine.** `FRJ/Profile.lean` (43 thms, sorry-free, choice-free) proves
HANDOFF.md	1234	refuted		none	disjunction/implication-over-modal-compound shapes are never refuted,
HANDOFF.md	1243	kernel-checked		none	kernel-checked certificates, all `[propext, Quot.sound]`, stated with
HANDOFF.md	1292	kernel-checked	RNDB.sepM,rho6_lt_rho13,nd_6_13	near	(via `¬DerivU → ¬Deriv`). Consequences, all kernel-checked
HANDOFF.md	1300	OPEN		none	COVER / BLOCKED / OPEN with frontier emission; control = the ρ6/ρ12
HANDOFF.md	1325	REFUTED	RNDB.rho20_nle_rho10	line	REFUTED; restated as `RNDB.rho20_nle_rho10`. The whole 462-cell PLL
HANDOFF.md	1397	OPEN		none	now explicit OPEN cells (`ρ8 ⊢? ρ16∨ρ19` flagged by the probe;
HANDOFF.md	1410	PROVED	CoversVF,obot_decides,nbot_decides	near	the covering relation of RN(◯,{})). PROVED, kernel-pinned:
HANDOFF.md	1418	REFUTED	not_covers_bot_obot	near	REFUTED: `◯⊥ ∧ p` interposes, both countermodels kernel `decide`.
HANDOFF.md	1434	proved	rndSet	near	"1. The probe's four ""◯-laws"" were already kernel-proved and in"
HANDOFF.md	1439	refuted		none	"2. **The ""floor of 15"" has no standing**: its rationale is refuted"
HANDOFF.md	1444	REFUTED		none	WRONG: all 45 are REFUTED CELLS with sorry-free refute_* theorems
HANDOFF.md	1444	sorry-free		none	WRONG: all 45 are REFUTED CELLS with sorry-free refute_* theorems
HANDOFF.md	1464	refuted		none	Purge executed: wip/rnDict.lean 87 sorried cells + the refuted closure
HANDOFF.md	1466	proved		none	→ exactly the 236 proved theorems remain; wip/rnDict2.lean 58 sorried
HANDOFF.md	1467	proved		none	+ closure layer (rnDict16) DELETED → the 82 proved remain. Zero
HANDOFF.md	1470	proved		none	green ON THE FIRST PASS — the proved layer was self-contained;
HANDOFF.md	1476	PROVED		none	repaired calculus with soundnessV PROVED; then the hoist 89ba5cc:
HANDOFF.md	1480	kernel-checked	Engine.frjv,RNDB.rho12_nle_rho15,orderEntries	near	a kernel-checked FRJV derivation; countermodel extracted by
HANDOFF.md	1505	refuted		none	"""45 remain genuinely open"" claim was false — all 45 are refuted cells"
HANDOFF.md	1506	sorry-free		none	with sorry-free refute_* theorems; sorried statements now deleted);
HANDOFF.md	1516	OPEN		none	## §2026-08-26b — ρ21 ≡? ρ12∨ρ20 hardened OPEN; covers: density of full PLL + the cube THEOREM
HANDOFF.md	1527	PROVABLE		none	c ⊢ b by orElim from a ⊢ b). PROVABLE on paper; Lean needs the
HANDOFF.md	1529	kernel-checked		none	kernel-checked (not_covers_bot_obot).
HANDOFF.md	1530	conjecture		none	In the FRAGMENT (CoversVF): the cube conjecture is a THEOREM of
HANDOFF.md	1536	PROVABLE		none	First full instance PROVABLE from pinned lemmas: U(⊥) = {◯⊥, ¬◯⊥}
HANDOFF.md	1563	OPEN		none	THE OPEN PREMISE (no Lean declaration — a sorry asserts; recorded here
HANDOFF.md	1569	proved	obot_decides,nbot_decides	near	Known: f-data at ⊥ (depth 0): U(⊥) ⊇ {◯⊥, ¬◯⊥} is kernel-proved
HANDOFF.md	1573	proved	obot_decides,nbot_decides,CoversVF,CovBy	near	exactness: the two proved covers already force the bottom diamond
HANDOFF.md	1591	PROVED		none	## §2026-08-26d — bridge lemma + bottom diamond PROVED; simplifier pegged to R
HANDOFF.md	1593	sorry-free		none	`RNDB/Diamond.lean` (new module, in the RNDB lib), all sorry-free,
HANDOFF.md	1619	OPEN		none	Status OPEN; known data: |U(⊥)| ≥ 2 at depth 0 (now on classes, above);
HANDOFF.md	1623	proved	Interd	line	R-indexed; when R grows, the new class's kernel-proved `Interd` cells
HANDOFF.md	1643	kernel-checked	Interd	line	`wip/rcells.lean` GENERATED: 442 kernel-checked `Interd` cells over
HANDOFF.md	1679	kernel-checked	fullSet	near	kernel-checked; rwscreen re-measured (wip/rwscreen_out3.txt, metrics
HANDOFF.md	1702	refuted		none	RefAt-refuted through the imp-clause once ¬a is kept) — ρ8 then
HANDOFF.md	1739	sorry-free		none	Landed, all sorry-free, pins `[propext, Quot.sound]` in `FRJ/AuditV.lean`
HANDOFF.md	1753	proved	V.completeness_of_supply	line	THE REDUCTION: `V.completeness_of_supply` is proved, so the
HANDOFF.md	1760	conjecture		none	frj-w4 §11 self-destruction conjecture, 28 probes pass)
HANDOFF.md	1765	refuted		none	the frame analysis predicted (both refuted on sepM). Outstanding: the
HANDOFF.md	1787	proved		none	## §2026-08-26h — STEP 0 CLOSED AS FOUND: ◯-free completeness was already proved
HANDOFF.md	1916	refuted	Decidable	near	## §2026-08-26k — the RESIDUE attacked: realised, route 3 refuted by certificate, and SERVED by Υ-enrichment
HANDOFF.md	1929	kernel-checked	route3_blocked,residueWit,IrrWitV	near	kernel-checked witness that the chosen-valuation route (frj-w4 §11
HANDOFF.md	2009	proved		none	## §2026-08-27a — CALCULUS ROUND 3: barren (J2) relaxed to RefAt; soundness re-proved size-founded; whole stack green
HANDOFF.md	2077	Conjecture		none	Conjecture (OPEN, recorded not asserted): full conservativity
HANDOFF.md	2077	OPEN		none	Conjecture (OPEN, recorded not asserted): full conservativity
HANDOFF.md	2086	kernel-checked		none	barren-(J2) relaxation re-enters only with a kernel-checked
HANDOFF.md	2094	refuted	keptOf_saturated,RefAt	near	the corner coverage induction (forced → `Clo(base++kept)`; refuted →
HANDOFF.md	2098	PROVED	keptOf_saturated	line	## §2026-08-28a — the two flight bricks PROVED: `keptOf_saturated` and the corner coverage induction
HANDOFF.md	2100	kernel-checked	keptOf_saturated	near	Both bricks of the guard-free flight closure are kernel-checked,
HANDOFF.md	2119	refuted	CornerSupply	near	pool; Υ covering refuted sfR-atoms, imps without a local
HANDOFF.md	2142	refuted	CornerSupply	line	discharges `CornerSupply` — `Ax^I` rows for refuted atoms (Υ), `⊃∉`
HANDOFF.md	2143	refuted	minModS,CornerSupply	near	floats for imps refuted only above (Υ), fresh-corner pushes for ◯s
HANDOFF.md	2151	PROVED		none	The campaign statement is PROVED, kernel-checked, choice-free
HANDOFF.md	2151	kernel-checked		none	The campaign statement is PROVED, kernel-checked, choice-free
HANDOFF.md	2164	refuted	rowFor	near	a refuted implication has a REFUTED consequent, and a refuted `◯` has a
HANDOFF.md	2164	REFUTED	rowFor	near	a refuted implication has a REFUTED consequent, and a refuted `◯` has a
HANDOFF.md	2165	REFUTED	rowFor	near	REFUTED body — so at the corner no `◯`-cell is ever demanded (the SEEN
HANDOFF.md	2168	refuted	familyRows	line	the thin premise family (`familyRows`): `Ax^I` rows for every refuted
HANDOFF.md	2169	refuted	familyRows,minEta	near	`Sf^R`-prime + `⊃∉` float rows for every refuted-antecedent
HANDOFF.md	2173	refuted	familyRows_ne	line	refuted skeleton (`familyRows_ne`);
HANDOFF.md	2178	refuted	cc_interAt,cc_pool,hAnot,CornerSupply,cc_supply	near	antecedent a-refuted);
HANDOFF.md	2206	PROVED	corner_lamStar_mem	near	PROVED** (pins `[propext, Quot.sound]`, choice-free):
HANDOFF.md	2211	refuted	forceStar	line	`Λ*`-implication has a refuted antecedent (`forceStar`), so
HANDOFF.md	2224	refuted		none	pledged (barren join), and a cone-refuted `Z` can never have
HANDOFF.md	2226	refuted	PledgeSupply	near	refuting cone. Pledging is safe exactly on cone-refuted formulas,
HANDOFF.md	2238	OPEN		none	genuinely OPEN. Next step per METHOD.md: refute-first — hunt a
HANDOFF.md	2253	PROVED	FreeWitV	near	PROVED** (wip/minmodv_port.lean, wip/minmodv_liftmain.lean):
HANDOFF.md	2261	REFUTED	axIWitV,tagPrimeP_join,tagOrP_join,Rm,RegWitV.tOK	near	chain-tagged rows for CONE-REFUTED prime/or goals; promise family
HANDOFF.md	2280	refuted	TagLeafV,Rm,completenessV_of_hloc	near	at a circ-carrying world where the goal is refuted but some proper
HANDOFF.md	2281	refuted	Rm	line	`Rm`-successor forces it (not cone-refuted). `hloc` makes it
HANDOFF.md	2292	refuted	vOps	near	derivation) on every refuted survivor. Strata ≤5/≤6/≤7: 608/2702/
HANDOFF.md	2293	refuted	vOps	near	16696 refuted goals, 19/236/1027 at circ-carrying configurations,
HANDOFF.md	2300	OPEN	TagLeafV	line	OPEN, sharply:** discharge or refute `TagLeafV`-freeness — either
HANDOFF.md	2303	kernel-checked		none	(b) a kernel-checked cell whose lifted derivation genuinely needs an
HANDOFF.md	2304	refuted		none	un-cone-refuted tagged leaf, which would be the next calculus-round
HANDOFF.md	2344	proved	Clo.circ,joinAtP,joinOrP,hJ5	near	still enters the critical zone, so Lemmas 11/12 must be re-proved
HANDOFF.md	2356	conjectured	FRJVi,Wg	near	the first task; a used-implication history is conjectured (untested)
HANDOFF.md	2366	machine-checked		none	`wip/gbu_measure.lean`. Two results, both machine-checked.
HANDOFF.md	2375	conjecture	not_wf_stepC,no_measure_stepC,Wg	near	from sequents into **any** well-founded order can work. The conjecture
HANDOFF.md	2376	REFUTED	Wg	line	in §2026-08-29b — that a reordering of `Wg` might do — is REFUTED, not
HANDOFF.md	2377	unproved	Wg	near	merely unproved.
HANDOFF.md	2426	refuted	lemma39R,preR_root_lbl,not_evalR_of_valid,not_evalI_circ_of_valid,circNotIn,axIC,classForce	near	valid sequent is refuted by no database. The irregular case turns on
HANDOFF.md	2440	provable	hJ5	near	`Ω ⇒g F` (F prime, `◯Y ∈ Ω`) would be neither Gbu◯-provable nor
HANDOFF.md	2444	Kernel-checked		none	condition and keeps the whole modal zone. Kernel-checked, in FRJ◯, not
HANDOFF.md	2455	kernel-checked		none	(2026-08-26): 4/6 kernel-checked in `Certified/RhoFRJV.lean`, 2/6 engine
HANDOFF.md	2502	proved		none	being proved, and RE-CHECK conservativity whenever the rules change.
HANDOFF.md	2505	refuted	not_evalI_omegaNI,Ax	near	With `Ω = {p, p⊃◯q}`, `Z = q`: `Ω ⊨ ◯q` so `Ω →g ◯q` is refuted by NO
HANDOFF.md	2528	sorry-free	gbuSuccCirc	near	Built** (`wip/gbu_circ.lean`, all sorry-free):
HANDOFF.md	2532	OPEN	hJ5	line	variant, so the modal-zone case needs `⋈^◯_P` and its `hJ5` — OPEN.
HANDOFF.md	2614	kernel-checked	circ_body_escapes_gHat	near	(`G = ◯(p∧q) ⊃ p`) is a kernel-checked instance. Fixes: admit
HANDOFF.md	2677	refuted	evalR_of_refutedCleanly	line	| `evalR_of_refutedCleanly` | clean ⟹ refuted | `[propext, Quot.sound]` |
HANDOFF.md	2727	REFUTED	deCircR,deCircI	near	## 2026-08-30g — Tag-preserving weakening REFUTED; option (ii) adopted (D9)
HANDOFF.md	2736	REFUTED	not_clean_of_clo_circ	near	REFUTED**, kernel-checked, `wip/gbu_weakening.lean`, `[propext, Quot.sound]`.
HANDOFF.md	2736	kernel-checked	not_clean_of_clo_circ	near	REFUTED**, kernel-checked, `wip/gbu_weakening.lean`, `[propext, Quot.sound]`.
HANDOFF.md	2801	PROVED	deCircR,deCircI	near	## 2026-08-30h — Theorem 8◯: regular branch PROVED, three residues named
HANDOFF.md	2803	sorry-free	searchO,BSearch	near	`wip/gbu_search_circ.lean`, sorry-free, `[propext, Quot.sound]`.
HANDOFF.md	2818	REFUTED	Wg	near	and REFUTED — `R∧ᵢ` at `C₁ ∧ ◯C₂` turns a non-modal goal into a modal
HANDOFF.md	2822	Proved	gbuInv11	near	Proved outright: the whole REGULAR branch**, `L◯` and `R◯` included.
HANDOFF.md	2825	proved	gbuInv11	near	irregular branch is proved at every non-modal goal, and at a modal goal
HANDOFF.md	2826	proved	gbuInv14	near	over a critical context; the clean branch is proved outright.
HANDOFF.md	2872	proved	provableGbuC_of_not_provableV	line	Top-level corollary `provableGbuC_of_not_provableV` is proved from the
HANDOFF.md	2881	refuted		none	Matthew authorised the `hsz` weakening. Implementing it refuted the
